iter	Logloss
0	0.6799521782
1	0.6675404144
2	0.6560849946
3	0.6451148103
4	0.6343613676
5	0.6244371323
6	0.6148523058
7	0.605759001
8	0.5972538632
9	0.5891808894
10	0.5812756233
11	0.5740550727
12	0.5667975673
13	0.5600363343
14	0.5534752035
15	0.5473131849
16	0.5413885229
17	0.535652315
18	0.5301713906
19	0.5249805806
20	0.5199366739
21	0.51515768
22	0.5106003979
23	0.5060173219
24	0.5018316127
25	0.4976895209
26	0.493757724
27	0.490082785
28	0.4864854223
29	0.4829195101
30	0.4796701791
31	0.4766502272
32	0.4736436392
33	0.4705249031
34	0.4677066134
35	0.464958596
36	0.4623604353
37	0.4598150138
38	0.4574071576
39	0.4550026821
40	0.4526964017
41	0.4504920823
42	0.4483977786
43	0.4461654682
44	0.4441648266
45	0.4421993591
46	0.4402935063
47	0.4384165924
48	0.4367687201
49	0.4350752279
50	0.4334994423
51	0.4318951532
52	0.4304383167
53	0.4289928421
54	0.4275553082
55	0.4261039659
56	0.4247615843
57	0.4234129599
58	0.4221190904
59	0.420961229
60	0.4198370406
61	0.4185812483
62	0.4173717131
63	0.4163302411
64	0.4153019904
65	0.4143465974
66	0.4133809636
67	0.4123008583
68	0.411405297
69	0.41052297
70	0.4096223949
71	0.4088385551
72	0.4079485921
73	0.4070244463
74	0.4062590999
75	0.4054883317
76	0.4047869872
77	0.404098198
78	0.4033919198
79	0.4027490287
80	0.4020935137
81	0.401432937
82	0.400770009
83	0.4002450507
84	0.399636568
85	0.3990365382
86	0.3984413296
87	0.3979461681
88	0.3974164056
89	0.3968115415
90	0.3962794055
91	0.3957603705
92	0.3952086752
93	0.3947031644
94	0.394285191
95	0.3938446538
96	0.3933794716
97	0.392931854
98	0.392573645
99	0.3921991178
