iter	Passed	Remaining
0	122	12175
1	214	10503
2	339	10983
3	438	10523
4	536	10189
5	640	10039
6	741	9849
7	842	9683
8	942	9528
9	1048	9432
10	1156	9354
11	1249	9160
12	1351	9042
13	1437	8831
14	1535	8703
15	1634	8578
16	1725	8422
17	1815	8272
18	1906	8126
19	2009	8037
20	2113	7949
21	2223	7883
22	2310	7735
23	2402	7609
24	2501	7503
25	2590	7372
26	2686	7262
27	2780	7150
28	2881	7053
29	2983	6960
30	3083	6863
31	3176	6749
32	3276	6652
33	3379	6560
34	3472	6449
35	3589	6382
36	3686	6276
37	3777	6162
38	3862	6041
39	3967	5951
40	4068	5854
41	4168	5755
42	4268	5658
43	4358	5547
44	4446	5434
45	4528	5315
46	4629	5220
47	4729	5123
48	4833	5031
49	4942	4942
50	5035	4837
51	5120	4726
52	5206	4617
53	5295	4510
54	5406	4423
55	5503	4324
56	5610	4232
57	5715	4138
58	5823	4046
59	5909	3939
60	6023	3850
61	6114	3747
62	6214	3649
63	6316	3553
64	6398	3445
65	6488	3342
66	6584	3242
67	6688	3147
68	6779	3045
69	6873	2945
70	6948	2838
71	7047	2740
72	7128	2636
73	7223	2537
74	7324	2441
75	7428	2345
76	7515	2244
77	7623	2150
78	7716	2051
79	7814	1953
80	7926	1859
81	8014	1759
82	8109	1661
83	8209	1563
84	8314	1467
85	8424	1371
86	8508	1271
87	8606	1173
88	8690	1074
89	8795	977
90	8885	878
91	8969	779
92	9046	680
93	9144	583
94	9246	486
95	9332	388
96	9416	291
97	9515	194
98	9615	97
99	9706	0
